locusId	sysName	type	scaffoldId	begin	end	strand	original_name	desc	name	Product	ecocyc_id
ECD_00369	ECD_00369	1	CP001509	405603	406502	-		geranyltranstransferase	ispA	geranyl diphosphate/farnesyl diphosphate synthase	ECD_RS01935
ECD_00370	ECD_00370	1	CP001509	406502	406744	-		exonuclease VII small subunit	xseB	exodeoxyribonuclease VII subunit XseB	ECD_RS01940
ECD_00371	ECD_00371	1	CP001509	406950	408398	+		tRNA s(4)U8 sulfurtransferase	thiI	tRNA uridine 4-sulfurtransferase	ECD_RS01945
ECD_00372	ECD_00372	1	CP001509	408452	409042	-		oxidative-stress-resistance chaperone	yajL	protein/nucleic acid deglycase 3	ECD_RS01950
ECD_00373	ECD_00373	1	CP001509	409005	409916	-		2-dehydropantoate reductase, NADPH-specific	panE	2-dehydropantoate 2-reductase	ECD_RS01955
ECD_00374	ECD_00374	1	CP001509	410084	410575	+		phage Phi6 host factor, ATP/GTP binding protein	yajQ	nucleotide binding protein YajQ	ECD_RS01960
ECD_00375	ECD_00375	1	CP001509	410703	412067	-		putative transporter	yajR	putative transport protein YajR	ECD_RS01965
ECD_00376	ECD_00376	1	CP001509	412484	413419	+		hypothetical protein	RS01970	sel1 repeat family protein	ECD_RS01970
ECD_00377	ECD_00377	1	CP001509	413475	414017	-		putative acetyltransferase	RS01975	N-acetyltransferase	ECD_RS01975
ECD_00378	ECD_00378	1	CP001509	414001	414378	-		hypothetical protein	RS01980	DUF1778 domain-containing protein	ECD_RS01980
ECD_00379	ECD_00379	1	CP001509	414497	415387	-		protoheme IX farnesyltransferase	cyoE	heme O synthase	ECD_RS01985
ECD_00380	ECD_00380	1	CP001509	415399	415728	-		cytochrome o ubiquinol oxidase subunit IV	cyoD	cytochrome <i>bo</i><sub>3</sub> subunit 4	ECD_RS01990
ECD_00381	ECD_00381	1	CP001509	415728	416342	-		cytochrome o ubiquinol oxidase subunit III	cyoC	cytochrome <i>bo</i><sub>3</sub> subunit 3	ECD_RS01995
ECD_00382	ECD_00382	1	CP001509	416332	418323	-		cytochrome o ubiquinol oxidase subunit I	cyoB	cytochrome <i>bo</i><sub>3</sub> subunit 1	ECD_RS02000
ECD_00383	ECD_00383	1	CP001509	418345	419292	-		cytochrome o ubiquinol oxidase subunit II	cyoA	cytochrome <i>bo</i><sub>3</sub> subunit 2	ECD_RS02005
ECD_00384	ECD_00384	1	CP001509	419754	421229	-		muropeptide transporter	ampG	muropeptide:H<sup>+</sup> symporter	ECD_RS02010
ECD_00385	ECD_00385	1	CP001509	421273	421851	-		putative lipoprotein	RS02015	hypothetical protein	ECD_RS02015
ECD_00386	ECD_00386	1	CP001509	422156	422473	+		stationary-phase morphogene, transcriptional repressor for mreB; also regulator for dacA, dacC, and ampC	bolA	DNA-binding transcriptional dual regulator BolA	ECD_RS02020
ECD_00387	ECD_00387	1	CP001509	422817	424115	+		peptidyl-prolyl cis/trans isomerase (trigger factor)	tig	trigger factor	ECD_RS02030
ECD_00388	ECD_00388	1	CP001509	424361	424984	+		proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases	clpP	ATP-dependent Clp protease proteolytic subunit	ECD_RS02035
ECD_00389	ECD_00389	1	CP001509	425110	426384	+		ATPase and specificity subunit of ClpX-ClpP ATP-dependent serine protease	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX	ECD_RS02040
ECD_00390	ECD_00390	1	CP001509	426654	427766	-		putative transposase insL for insertion sequence IS186	RS02045	IS4 family transposase	ECD_RS02045
ECD_00391	ECD_00391	1	CP001509	427922	430276	+		DNA-binding ATP-dependent protease La	lon	Lon protease	ECD_RS02050
ECD_00392	ECD_00392	1	CP001509	430485	430757	+		HU, DNA-binding transcriptional regulator, beta subunit	hupB	DNA-binding protein HU-&beta;	ECD_RS02055
ECD_00393	ECD_00393	1	CP001509	430949	432820	+		periplasmic folding chaperone, has an inactive PPIase domain	ppiD	periplasmic folding chaperone	ECD_RS02060
ECD_00394	ECD_00394	1	CP001509	432971	433342	+		putative competence-suppressing periplasmic helix-hairpin-helix DNA-binding protein	ybaV	helix-hairpin-helix 3 family protein	ECD_RS02065
ECD_00395	ECD_00395	1	CP001509	433448	433846	+		long-chain acyl-CoA thioesterase III	fadM	long-chain acyl-CoA thioesterase FadM	ECD_RS02070
ECD_00396	ECD_00396	1	CP001509	433898	434593	-		7-cyano-7-deazaguanine (preQ0) synthase; queuosine biosynthesis	queC	7-cyano-7-deazaguanine synthase	ECD_RS02075
ECD_00397	ECD_00397	1	CP001509	434658	436358	-		putative ABC transporter periplasmic binding protein	ybaE	uncharacterized protein YbaE	ECD_RS02080
ECD_00398	ECD_00398	1	CP001509	436458	437276	+		thiamine pyrimidine pyrophosphate hydrolase; HMP-PP phosphatase	cof	HMP-PP phosphatase	ECD_RS02085
ECD_00399	ECD_00399	1	CP001509	437429	437887	+		putative DNA-binding transcriptional regulator	decR	DNA-binding transcriptional activator DecR	ECD_RS02090
ECD_00400	ECD_00400	1	CP001509	437917	439689	+		putative multidrug ABC transporter ATPase	mdlA	ABC transporter family protein MdlA	ECD_RS02095
ECD_00401	ECD_00401	1	CP001509	439682	441463	+		putative multidrug ABC transporter ATPase	mdlB	ABC transporter family protein MdlB	ECD_RS02100
ECD_00402	ECD_00402	1	CP001509	441644	441982	+		nitrogen assimilation regulatory protein for GlnL, GlnE, and AmtB	glnK	nitrogen regulatory protein PII-2	ECD_RS02105
ECD_00403	ECD_00403	1	CP001509	442012	443298	+		ammonium transporter	amtB	ammonium transporter	ECD_RS02110
ECD_00404	ECD_00404	1	CP001509	443347	444207	-		acyl-CoA thioesterase 2	tesB	acyl-CoA thioesterase II	ECD_RS02115
ECD_00405	ECD_00405	1	CP001509	444425	444997	+		outer membrane lipoprotein	ybaY	PF09619 family lipoprotein YbaY	ECD_RS02120
ECD_00406	ECD_00406	1	CP001509	445028	445417	-		excision repair protein, alkyltransferase-like protein ATL			
ECD_00407	ECD_00407	1	CP001509	445718	446071	+		DUF1428 family protein	ybaA	DUF1428 domain-containing protein YbaA	ECD_RS02130
ECD_00408	ECD_00408	1	CP001509	446113	447663	-		putative membrane-anchored cyclic-di-GMP phosphodiesterase	pdeB	cyclic di-GMP phosphodiesterase PdeB	ECD_RS02135
ECD_00409	ECD_00409	1	CP001509	447827	448297	-		DUF1449 family inner membrane protein	ylaC	putative inner membrane protein	ECD_RS02140
ECD_00410	ECD_00410	1	CP001509	448413	448964	-		maltose O-acetyltransferase	maa	maltose <i>O</i>-acetyltransferase	ECD_RS02145
ECD_00411	ECD_00411	1	CP001509	449136	449354	-		modulator of gene expression, with H-NS	hha	haemolysin expression-modulating protein Hha	ECD_RS02150
ECD_00412	ECD_00412	1	CP001509	449380	449754	-		Hha toxicity attenuator; conjugation-related protein	tomB	Hha toxicity modulator TomB	ECD_RS02155
ECD_00413	ECD_00413	1	CP001509	450300	453449	-		multidrug efflux system protein	acrB	multidrug efflux pump RND permease AcrB	ECD_RS02160
ECD_00414	ECD_00414	1	CP001509	453472	454665	-		multidrug efflux system	acrA	multidrug efflux pump membrane fusion lipoprotein AcrA	ECD_RS02165
ECD_00415	ECD_00415	1	CP001509	454807	455454	+		transcriptional repressor	acrR	DNA-binding transcriptional repressor AcrR	ECD_RS02170
ECD_00416	ECD_00416	1	CP001509	455582	458944	+		mechanosensitive channel protein, intermediate conductance, K+ regulated	mscK	potassium dependent, small conductance mechanosensitive channel	ECD_RS02175
ECD_00417	ECD_00417	1	CP001509	459156	459317	-		DUF2496 family protein	ybaM	DUF2496 domain-containing protein YbaM	ECD_RS02185
ECD_00418	ECD_00418	1	CP001509	459331	459858	-		primosomal replication protein N''	priC	primosomal replication protein N''	ECD_RS02190
ECD_00419	ECD_00419	1	CP001509	459928	460305	+		DUF454 family inner membrane protein	ybaN	DUF454 domain-containing inner membrane protein YbaN	ECD_RS02195
ECD_00420	ECD_00420	1	CP001509	460458	461009	+		adenine phosphoribosyltransferase	apt	adenine phosphoribosyltransferase	ECD_RS02200
ECD_00421	ECD_00421	1	CP001509	461138	463069	+		DNA polymerase III/DNA elongation factor III, tau and gamma subunits	RS02205	DNA polymerase III subunit gamma/tau	ECD_RS02205
ECD_00422	ECD_00422	1	CP001509	463122	463451	+		DNA-binding protein, putative nucleoid-associated protein	ybaB	putative nucleoid-associated protein YbaB	ECD_RS02210
ECD_00423	ECD_00423	1	CP001509	463451	464056	+		gap repair protein	recR	recombination mediator protein RecR	ECD_RS02215
ECD_00424	ECD_00424	1	CP001509	464166	466040	+		protein refolding molecular co-chaperone Hsp90, Hsp70-dependent; heat-shock protein; ATPase	htpG	chaperone protein HtpG	ECD_RS02220
ECD_00425	ECD_00425	1	CP001509	466221	466865	+		adenylate kinase	adk	adenylate kinase	ECD_RS02225
ECD_00426	ECD_00426	1	CP001509	467101	468063	+		ferrochelatase	hemH	ferrochelatase	ECD_RS02230
ECD_00427	ECD_00427	1	CP001509	468060	469019	-		acetyl esterase	aes	acetylesterase	ECD_RS02235
ECD_00428	ECD_00428	1	CP001509	469171	470475	+		inosine/guanosine kinase	gsk	inosine/guanosine kinase	ECD_RS02240
ECD_00429	ECD_00429	1	CP001509	470608	472284	-		inner membrane putative NAD(P)-binding transporter	ybaL	putative transporter YbaL	ECD_RS02245
ECD_00430	ECD_00430	1	CP001509	472522	473742	-		putative fosmidomycin efflux system protein	fsr	fosmidomycin efflux pump	ECD_RS02250
ECD_00431	ECD_00431	1	CP001509	473960	475612	+		bifunctional UDP-sugar hydrolase/5'-nucleotidase	ushA	5'-nucleotidase / UDP-sugar hydrolase	ECD_RS02255
ECD_00432	ECD_00432	1	CP001509	475649	476128	-		Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase	ybaK	Cys-tRNA<sup>Pro</sup>/Cys-tRNA<sup>Cys</sup> deacylase YbaK	ECD_RS02260
ECD_00433	ECD_00433	1	CP001509	476332	477126	-		TraB family protein	ybaP	TraB family protein YbaP	ECD_RS02265
ECD_00434	ECD_00434	1	CP001509	477264	477605	+		putative DNA-binding transcriptional regulator	ybaQ	DNA-binding transcriptional regulator YbaQ	ECD_RS02270
ECD_00435	ECD_00435	1	CP001509	478022	480526	-		copper transporter	copA	copper-exporting P-type ATPase A	ECD_RS02275
ECD_00436	ECD_00436	1	CP001509	480788	481720	+		glutaminase 1	glsA	glutaminase 1	ECD_RS02280
ECD_00437	ECD_00437	1	CP001509	481723	483015	+		putative amino acid transporter	ybaT	putative transporter YbaT	ECD_RS02285
ECD_00438	ECD_00438	1	CP001509	483140	483547	+		copper-responsive regulon transcriptional regulator	cueR	DNA-binding transcriptional dual regulator CueR	ECD_RS02290
ECD_00439	ECD_00439	1	CP001509	483548	484006	-		inner membrane protein; stimulator of the QmcA suppressor of ftsH-htpX	ybbJ	NfeD-like family protein YbbJ	ECD_RS02295
ECD_00440	ECD_00440	1	CP001509	484003	484920	-		PHB domain membrane-anchored putative protease	qmcA	PHB domain-containing protein QmcA	ECD_RS02300
ECD_00441	ECD_00441	1	CP001509	485066	485743	+		iron export ABC transporter ATPase; peroxide resistance protein	fetA	putative iron ABC exporter ATP-binding subunit FetA	ECD_RS02305
ECD_00442	ECD_00442	1	CP001509	485730	486509	+		iron export ABC transporter permease; peroxide resistance protein	fetB	putative iron ABC exporter membrane subunit FetB	ECD_RS02310
ECD_00443	ECD_00443	1	CP001509	486572	487426	-		DnaK co-chaperone, thioredoxin-like protein	cnoX	chaperedoxin	ECD_RS02315
ECD_00444	ECD_00444	1	CP001509	487487	488296	-		putative oxidoreductase	ybbO	NADP<sup>+</sup>-dependent aldehyde reductase YbbO	ECD_RS02320
ECD_00445	ECD_00445	1	CP001509	488286	488912	-		acyl-CoA thioesterase 1 and protease I and lysophospholipase L1	tesA	multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1	ECD_RS02325
ECD_00446	ECD_00446	1	CP001509	488880	489566	+		putative ABC transporter ATPase	ybbA	putative ABC transporter ATP-binding protein YbbA	ECD_RS02330
ECD_00447	ECD_00447	1	CP001509	489563	491977	+		putative ABC transporter permease	ybbP	putative ABC transporter membrane subunit YbbP	ECD_RS02335
ECD_00448	ECD_00448	1	CP001509	492407	496687	+		Rhs protein with DUF4329 family putative toxin domain; putative neighboring cell growth inhibitor	rhsD	protein RhsD	ECD_RS02340
ECD_00449	ECD_00449	1	CP001509	496727	497095	+		putative immunity protein	ybbC	PF15631 family protein YbbC	ECD_RS02345
ECD_00450	ECD_00450	1	CP001509	497095	497805	+		conserved protein, rhs-like protein	RS02350	RHS repeat protein	ECD_RS02350
ECD_00451	ECD_00451	1	CP001509	497786	498046	+		hypothetical protein	RS24535	hypothetical protein	ECD_RS24535
ECD_00452	ECD_00452	1	CP001509	498790	499161	-		putative DNA-binding transcriptional regulator	RS02360	IS481 family transposase	ECD_RS02360
ECD_00453	ECD_00453	1	CP001509	499277	500371	-		tRNA 2-selenouridine synthase, selenophosphate-dependent	selU	tRNA 2-selenouridine synthase	ECD_RS02365
ECD_00454	ECD_00454	1	CP001509	500440	501366	-		allD operon transcriptional activator	allS	DNA-binding transcriptional activator AllS	ECD_RS02370
ECD_00455	ECD_00455	1	CP001509	501596	502078	+		ureidoglycolate lyase, releasing urea	allA	ureidoglycolate lyase	ECD_RS02375
ECD_00456	ECD_00456	1	CP001509	502156	502971	+		glyoxylate-inducible transcriptional repressor of all and gcl operons	allR	DNA-binding transcriptional repressor AllR	ECD_RS02380
ECD_00457	ECD_00457	1	CP001509	503061	504842	+		glyoxylate carboligase	gcl	glyoxylate carboligase	ECD_RS02385
ECD_00458	ECD_00458	1	CP001509	504855	505631	+		hydroxypyruvate isomerase	hyi	hydroxypyruvate isomerase	ECD_RS02390
ECD_00459	ECD_00459	1	CP001509	505731	506609	+		tartronate semialdehyde reductase, NADH-dependent	glxR	tartronate semialdehyde reductase 2	ECD_RS02395
ECD_00460	ECD_00460	1	CP001509	506641	506919	+		hypothetical protein			
ECD_00461	ECD_00461	1	CP001509	506778	508232	+		putative allantoin transporter	allW	allantoin transporter	ECD_RS02400
ECD_00462	ECD_00462	1	CP001509	508292	509653	+		allantoinase	allB	allantoinase	ECD_RS02405
ECD_00463	ECD_00463	1	CP001509	509710	511011	+		putative uracil/xanthine transporter	ybbY	putative purine transporter	ECD_RS02410
ECD_00464	ECD_00464	1	CP001509	511033	512178	+		glycerate kinase II	glxK	glycerate 2-kinase 2	ECD_RS02415
ECD_00465	ECD_00465	1	CP001509	512406	513191	-		S-ureidoglycine aminohydrolase	allE	(S)-ureidoglycine aminohydrolase	ECD_RS02420
ECD_00466	ECD_00466	1	CP001509	513202	514437	-		allantoate amidohydrolase	allC	allantoate amidohydrolase	ECD_RS02425
ECD_00467	ECD_00467	1	CP001509	514459	515508	-		ureidoglycolate dehydrogenase	allD	ureidoglycolate dehydrogenase	ECD_RS02430
ECD_00468	ECD_00468	1	CP001509	515825	517492	+		putative NAD(P)-binding acyl-CoA synthetase	fdrA	putative oxamate carbamoyltransferase FdrA	ECD_RS02435
ECD_00469	ECD_00469	1	CP001509	517502	518761	+		hypothetical protein	ylbE	DUF1116 domain-containing protein YlbE	ECD_RS02440
ECD_00470	ECD_00470	1	CP001509	518772	519587	+		putative anaerobic allantoin catabolic oxamate carbamoyltransferase; DUF2877 family protein	ylbF	DUF2877 domain-containing protein YlbF	ECD_RS02445
ECD_00471	ECD_00471	1	CP001509	519584	520477	+		putative carbonate kinase	ybcF	putative carbamate kinase	ECD_RS02450
ECD_00472	ECD_00472	1	CP001509	520614	521681	-		N5-carboxyaminoimidazole ribonucleotide synthase	purK	5-(carboxyamino)imidazole ribonucleotide synthase	ECD_RS02455
ECD_00473	ECD_00473	1	CP001509	521678	522187	-		N5-carboxyaminoimidazole ribonucleotide mutase	purE	<i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase	ECD_RS02460
ECD_00474	ECD_00474	1	CP001509	522305	523027	-		UDP-2,3-diacylglucosamine pyrophosphohydrolase	lpxH	UDP-2,3-diacylglucosamine diphosphatase	ECD_RS02465
ECD_00475	ECD_00475	1	CP001509	523030	523524	-		peptidyl-prolyl cis-trans isomerase B (rotamase B)	ppiB	peptidyl-prolyl <i>cis-trans</i> isomerase B	ECD_RS02470
ECD_00476	ECD_00476	1	CP001509	523698	525083	+		cysteinyl-tRNA synthetase	cysS	cysteine&mdash;tRNA ligase	ECD_RS02475
ECD_00477	ECD_00477	1	CP001509	525119	525640	-		DUF457 family inner membrane protein	ybcI	PF04307 family inner membrane protein YbcI	ECD_RS02480
ECD_00478	ECD_00478	1	CP001509	525748	525960	-		ribosome-associated protein; putative RNA-binding protein	ybcJ	putative RNA-binding protein YbcJ	ECD_RS02485
ECD_00479	ECD_00479	1	CP001509	525962	526828	-		bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	folD	bifunctional methylenetetrahydrofolate dehydrogenase / methenyltetrahydrofolate cyclohydrolase	ECD_RS02490
ECD_00480	ECD_00480	1	CP001509	527299	527841	+		FimA-like protein	sfmA	putative fimbrial protein SfmA	ECD_RS02495
ECD_00481	ECD_00481	1	CP001509	528061	528753	+		putative periplasmic pilus chaperone	sfmC	putative fimbrial chaperone SfmC	ECD_RS02500
ECD_00482	ECD_00482	1	CP001509	528784	531393	+		putative outer membrane export usher protein	sfmD	putative fimbrial usher protein SfmD	ECD_RS02505
ECD_00483	ECD_00483	1	CP001509	531435	532412	+		FimA-like protein	sfmH	putative fimbrial adhesin protein SfmH	ECD_RS02510
ECD_00484	ECD_00484	1	CP001509	532423	532938	+		FimA-like protein	sfmF	putative fimbrial protein SfmF	ECD_RS02515
ECD_00485	ECD_00485	1	CP001509	532941	533573	-		response regulator family protein	fimZ	LuxR family transcriptional regulator FimZ	ECD_RS02520
ECD_t00007	ECD_t00007	5	CP001509	533816	533892	+		tRNA-Arg	RS02525	tRNA-Arg	ECD_RS02525
ECD_00486	ECD_00486	1	CP001509	533908	535071	-		DLP12 prophage; putative phage integrase	intD	DLP12 prophage; putative integrase	ECD_RS02530
ECD_00487	ECD_00487	1	CP001509	534927	535328	-		Excisionase	RS22955	DNA-binding protein	ECD_RS22955
ECD_00488	ECD_00488	1	CP001509	535596	535814	-		hypothetical protein	RS02540	conjugal transfer protein TraR	ECD_RS02540
ECD_00489	ECD_00489	1	CP001509	535913	536227	-		hypothetical protein			
ECD_00490	ECD_00490	1	CP001509	536205	536570	-		putative DNA N-6-adenine-methyltransferase of bacteriophage	RS02555	DNA N-6-adenine-methyltransferase	ECD_RS02555
ECD_00492	ECD_00492	1	CP001509	536657	536842	+		hypothetical protein	RS02560	hypothetical protein	ECD_RS02560
ECD_00493	ECD_00493	1	CP001509	536910	537242	+		DLP12 prophage; multidrug resistance protein	emrE	DLP12 prophage; multidrug/betaine/choline efflux transporter EmrE	ECD_RS02565
ECD_00494	ECD_00494	1	CP001509	537497	539023	+		DLP12 prophage; putative recombinase	ybcK	DLP12 prophage; putative recombinase YbcK	ECD_RS02575
ECD_00495	ECD_00495	1	CP001509	539488	540039	+		inactive polymorphonuclear leukocyte migration suppressor; DLP12 prophage; UPF0098 family secreted protein	ybcL	DLP12 prophage; periplasmic protein YbcL	ECD_RS02580
ECD_00496	ECD_00496	1	CP001509	540049	540846	+		DLP12 prophage; putative DNA-binding transcriptional regulator	ybcM	DLP12 prophage; putative DNA-binding transcriptional regulator	ECD_RS02585
ECD_00497	ECD_00497	1	CP001509	541061	541516	+		DLP12 prophage; uncharacterized protein	ybcN	DLP12 prophage; DNA base-flipping protein	ECD_RS02590
ECD_00498	ECD_00498	1	CP001509	541516	541686	+		DLP12 prophage; conserved protein	ninE	DLP12 prophage; NinE family prophage protein	ECD_RS02595
ECD_00499	ECD_00499	1	CP001509	541679	541969	+		DLP12 prophage; uncharacterized protein	ybcO	DLP12 prophage; putative nuclease YbcO	ECD_RS02600
ECD_00500	ECD_00500	1	CP001509	541966	542328	+		DLP12 prophage; endonuclease RUS	rusA	DLP12 prophage; crossover junction endodeoxyribonuclease RusA	ECD_RS02605
ECD_00501	ECD_00501	1	CP001509	542325	542465	+		uncharacterized protein, DLP12 prophage	ylcG	DLP12 prophage; uncharacterized protein YlcG	ECD_RS02610
ECD_00502	ECD_00502	1	CP001509	542551	542934	+		DLP12 prophage; putative antitermination protein	quuD	DLP12 prophage; prophage antitermination protein Q homolog QuuD	ECD_RS02615
ECD_00504	ECD_00504	1	CP001509	543652	544155	-		IS1 protein InsB	RS02625	IS1 family transposase	ECD_RS02625
ECD_00505	ECD_00505	1	CP001509	544074	544349	-		IS1 protein InsA			
ECD_00506	ECD_00506	1	CP001509	545572	545787	+		DLP12 prophage; putative phage lysis protein	essD	DLP12 prophage; putative phage lysis protein	ECD_RS02635
ECD_00507	ECD_00507	1	CP001509	545787	546284	+		DLP12 prophage; putative lysozyme	rrrD	DLP12 prophage; lysozyme	ECD_RS02640
ECD_00508	ECD_00508	1	CP001509	546281	546742	+		DLP12 prophage; putative murein endopeptidase			
ECD_00509	ECD_00509	1	CP001509	546774	547067	-		DLP12 prophage; putative lipoprotein	borD	DLP12 prophage; prophage lipoprotein BorD	ECD_RS02650
ECD_00510	ECD_00510	1	CP001509	547428	547622	-		hypothetical protein	RS02660	DUF3950 domain-containing protein	ECD_RS02660
ECD_00511	ECD_00511	1	CP001509	548011	548586	+		DLP12 prophage; DNA packaging protein	RS02670	terminase small subunit	ECD_RS02670
ECD_00513	ECD_00513	1	CP001509	550550	551146	+		hypothetical protein			
ECD_00530	ECD_00530	1	CP001509	550995	551267	-		hypothetical protein	RS02685	hypothetical protein	ECD_RS02685
ECD_00531	ECD_00531	1	CP001509	552004	553452	-		copper-sensing histidine kinase in two-component regulatory system with CusR	cusS	sensor histidine kinase CusS	ECD_RS02690
ECD_00532	ECD_00532	1	CP001509	553442	554125	-		response regulator in two-component regulatory system with CusS	cusR	DNA-binding transcriptional activator CusR	ECD_RS02695
ECD_00533	ECD_00533	1	CP001509	554282	555655	+		copper/silver efflux system, outer membrane component	cusC	copper/silver export system outer membrane channel	ECD_RS02700
ECD_00534	ECD_00534	1	CP001509	555813	556145	+		periplasmic copper- and silver-binding protein	cusF	copper/silver export system periplasmic binding protein	ECD_RS02705
ECD_00535	ECD_00535	1	CP001509	556161	557384	+		copper/silver efflux system, membrane fusion protein	cusB	copper/silver export system membrane fusion protein	ECD_RS02710
ECD_00536	ECD_00536	1	CP001509	557396	560539	+		copper/silver efflux system, membrane component	cusA	copper/silver export system RND permease	ECD_RS02715
ECD_00537	ECD_00537	1	CP001509	560641	562017	+		phenylalanine transporter	pheP	phenylalanine:H+ symporter PheP	ECD_RS02720
ECD_00538	ECD_00538	1	CP001509	562085	563332	-		mechanosensitive channel protein, miniconductance	ybdG	miniconductance mechanosensitive channel YbdG	ECD_RS02725
ECD_00539	ECD_00539	1	CP001509	563440	564093	-		dihydropteridine reductase, NAD(P)H-dependent, oxygen-insensitive	nfsB	NAD(P)H-dependent nitroreductase NfsB	ECD_RS02730
ECD_00540	ECD_00540	1	CP001509	564187	564555	-		DUF419 family protein	ybdF	PF04237 family protein YbdF	ECD_RS02735
ECD_00541	ECD_00541	1	CP001509	564620	564868	-		DUF1158 family putative inner membrane protein	ybdJ	DUF1158 domain-containing protein YbdJ	ECD_RS02740
ECD_00542	ECD_00542	1	CP001509	564934	566052	-		weak gamma-glutamyl:cysteine ligase	ybdK	putative glutamate&mdash;cysteine ligase 2	ECD_RS02745
ECD_00543	ECD_00543	1	CP001509	566321	566842	+		IS150 hypothetical protein			
ECD_00545	ECD_00545	1	CP001509	567349	567852	-		IS1 protein insB	RS22975	IS1 family transposase	ECD_RS22975
ECD_00546	ECD_00546	1	CP001509	567771	568046	-		IS1 protein InsA			
ECD_00547	ECD_00547	1	CP001509	568322	568474	+		toxic polypeptide, small	hokE	small toxic polypeptide HokE	ECD_RS02770
ECD_00548	ECD_00548	1	CP001509	568551	569663	+		IS186 hypothetical protein	RS02775	IS4 family transposase	ECD_RS02775
ECD_00549	ECD_00549	1	CP001509	569945	570574	-		phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex	entD	phosphopantetheinyl transferase EntD	ECD_RS02780
ECD_00550	ECD_00550	1	CP001509	570740	572980	-		ferrienterobactin outer membrane transporter	fepA	ferric enterobactin outer membrane transporter	ECD_RS02785
ECD_00551	ECD_00551	1	CP001509	573224	574426	+		enterobactin/ferrienterobactin esterase	fes	ferric enterobactin esterase	ECD_RS02790
ECD_00552	ECD_00552	1	CP001509	574429	574647	+		stimulator of EntF adenylation activity, MbtH-like	ybdZ	enterobactin biosynthesis protein YbdZ	ECD_RS02795
ECD_00553	ECD_00553	1	CP001509	574644	578525	+		enterobactin synthase multienzyme complex component, ATP-dependent	entF	apo-serine activating enzyme	ECD_RS02800
ECD_00554	ECD_00554	1	CP001509	578741	579874	+		regulator of length of O-antigen component of lipopolysaccharide chains	RS02805	LPS O-antigen length regulator	ECD_RS02805
ECD_00555	ECD_00555	1	CP001509	579871	580686	-		ferrienterobactin ABC transporter ATPase	fepC	ferric enterobactin ABC transporter ATP binding subunit	ECD_RS02810
ECD_00556	ECD_00556	1	CP001509	580683	581675	-		iron-enterobactin ABC transporter permease	fepG	ferric enterobactin ABC transporter membrane subunit FepG	ECD_RS02815
ECD_00557	ECD_00557	1	CP001509	581672	582676	-		ferrienterobactin ABC transporter permease	fepD	ferric enterobactin ABC transporter membrane subunit FebD	ECD_RS02820
ECD_00558	ECD_00558	1	CP001509	582787	584037	+		enterobactin exporter, iron-regulated	entS	enterobactin exporter EntS	ECD_RS02825
ECD_00559	ECD_00559	1	CP001509	584041	584997	-		ferrienterobactin ABC transporter periplasmic binding protein	fepB	ferric enterobactin ABC transporter periplasmic binding protein	ECD_RS02830
ECD_00560	ECD_00560	1	CP001509	585372	586547	+		isochorismate synthase 1	entC	isochorismate synthase EntC	ECD_RS02835
ECD_00561	ECD_00561	1	CP001509	586557	588167	+		2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex	entE	2,3-dihydroxybenzoate-AMP ligase	ECD_RS02840
ECD_00562	ECD_00562	1	CP001509	588181	589038	+		isochorismatase	entB	enterobactin synthase component B	ECD_RS02845
ECD_00563	ECD_00563	1	CP001509	589038	589784	+		2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	entA	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	ECD_RS02850
ECD_00564	ECD_00564	1	CP001509	589787	590200	+		enterobactin synthesis proofreading thioesterase	entH	proofreading thioesterase in enterobactin biosynthesis	ECD_RS02855
ECD_00566	ECD_00566	1	CP001509	592658	592855	+		DUF466 family protein	ybdD	PF04328 family protein YbdD	ECD_RS02865
ECD_00567	ECD_00567	1	CP001509	592865	593953	-		putative oxidoreductase	hcxA	hydroxycarboxylate dehydrogenase A	ECD_RS02870
ECD_00568	ECD_00568	1	CP001509	594062	595222	+		methionine aminotransferase, PLP-dependent	ybdL	methionine transaminase	ECD_RS02875
ECD_00569	ECD_00569	1	CP001509	595223	595852	-		Spo0J family protein, ParB-like nuclease domain	ybdM	ParB-like nuclease domain-containing protein YbdM	ECD_RS02880
ECD_00570	ECD_00570	1	CP001509	595825	596886	-		PAPS reductase-like domain protein	RS02885	phosphoadenosine phosphosulfate reductase	ECD_RS02885
ECD_00571	ECD_00571	1	CP001509	596911	597414	-		IS1 protein InsB	RS02890	IS1 family transposase	ECD_RS02890
ECD_00572	ECD_00572	1	CP001509	597333	597608	-		IS1 protein InsA			
ECD_00573	ECD_00573	1	CP001509	597642	598403	-		thiol:disulfide interchange protein, periplasmic	dsbG	protein sulfenic acid reductase and chaperone DsbG	ECD_RS02895
