locusId	scaffoldId	begin	end	strand	original_name	gene_type	rbtnseq_ref_locusId	product	sysName	name	desc	ecocyc_id
BW25113_1315	CP009273.1	1371089	1372144	+	ycjS	CDS	15435	putative NADH-binding oxidoreductase	b1315	ycjS	predicted oxidoreductase, NADH-binding (NCBI)	G6653
BW25113_1316	CP009273.1	1372141	1374408	+	ycjT	CDS	15436	putative family 65 glycosyl hydrolase	b1316	ycjT	predicted hydrolase (NCBI)	G6654
BW25113_1317	CP009273.1	1374405	1375064	+	ycjU	CDS	15437	beta-phosphoglucomutase	b1317	ycjU	predicted beta-phosphoglucomutase (NCBI)	G6655
BW25113_4524	CP009273.1	1375078	1376034	+	ycjV	CDS				ycjV		
BW25113_1319	CP009273.1	1376204	1377109	+	ompG	CDS	15439	outer membrane porin G	b1319	ompG	outer membrane porin (NCBI)	G6657
BW25113_1320	CP009273.1	1377220	1378218	-	ycjW	CDS	15440	LacI family putative transcriptional repressor	b1320	ycjW	predicted DNA-binding transcriptional regulator (NCBI)	G6658
BW25113_1321	CP009273.1	1378374	1379771	+	ycjX	CDS	15441	DUF463 family protein%2C putative P-loop NTPase	b1321	ycjX	conserved protein with nucleoside triphosphate hydrolase domain (NCBI)	G6659
BW25113_1322	CP009273.1	1379768	1380829	+	ycjF	CDS	15442	UPF0283 family inner membrane protein	b1322	ycjF	hypothetical protein (NCBI)	EG12870
BW25113_1323	CP009273.1	1380977	1382518	+	tyrR	CDS	15443	aromatic amino acid biosynthesis and transport regulon transcriptional regulator%3B autorepressor%3B ATPase%3B phosphatase	b1323	tyrR	DNA-binding transcriptional dual regulator, tyrosine-binding (NCBI)	EG11042
BW25113_1324	CP009273.1	1382562	1383068	-	tpx	CDS	15444	lipid hydroperoxide peroxidase	b1324	tpx	thiol peroxidase (NCBI)	G6660
BW25113_1325	CP009273.1	1383187	1384152	+	ycjG	CDS	15445	L-Ala-D/L-Glu epimerase	b1325	ycjG	putative muconate cycloisomerase I (EC 5.5.-.-) (VIMSS)	G6661
BW25113_1326	CP009273.1	1384127	1384855	-	mpaA	CDS	15446	murein peptide amidase A	b1326	mpaA	murein peptide amidase A (RefSeq)	G6662
BW25113_4525	CP009273.1	1384982	1385119	-	ymjC	CDS				ymjC		
BW25113_4673	CP009273.1	1385125	1385190	-	ymjD	CDS				ymjD		
BW25113_1327	CP009273.1	1385190	1386110	-	ycjY	CDS	15447	S9 homolog non-peptidase family protein	b1327	ycjY	predicted hydrolase (RefSeq)	G6663
BW25113_1328	CP009273.1	1386248	1387147	+	pgrR	CDS	15448	murein peptide degradation regulator	b1328	pgrR	predicted DNA-binding transcriptional regulator (NCBI)	G6664
BW25113_1329	CP009273.1	1387484	1389097	+	mppA	CDS	15449	murein tripeptide (L-ala-gamma-D-glutamyl-meso-DAP) transporter subunit	b1329	mppA	putative transport periplasmic protein (VIMSS)	G6665
BW25113_1330	CP009273.1	1389148	1390179	-	ynaI	CDS	15450	mechanosensitive channel protein%2C very small conductance	b1330	ynaI	conserved inner membrane protein (NCBI)	G6666
BW25113_1331	CP009273.1	1390333	1391349	+	insH1	CDS		IS5 transposase and trans-activator		insH1	IS5 transposase and trans-activator	
BW25113_1332	CP009273.1	1391622	1391879	+	ynaJ	CDS	15452	DUF2534 family putative inner membrane protein	b1332	ynaJ	predicted inner membrane protein (NCBI)	G6668
BW25113_1333	CP009273.1	1391929	1392879	-	uspE	CDS	15453	stress-induced protein	b1333	uspE	stress-induced protein (NCBI)	EG11246
BW25113_1334	CP009273.1	1393031	1393783	-	fnr	CDS	15454	oxygen-sensing anaerobic growth regulon transcriptional regulator%3B autorepressor	b1334	fnr	DNA-binding transcriptional dual regulator, global regulator of anaerobic growth (NCBI)	EG10325
BW25113_1335	CP009273.1	1393978	1394493	-	ogt	CDS	15455	O-6-alkylguanine-DNA:cysteine-protein methyltransferase	b1335	ogt	O-6-alkylguanine-DNA:cysteine-protein methyltransferase (NCBI)	EG10668
BW25113_1336	CP009273.1	1394504	1396030	-	abgT	CDS	15456	p-aminobenzoyl-glutamate transporter%3B membrane protein	b1336	abgT	putative pump protein (transport) (VIMSS)	EG12853
BW25113_1337	CP009273.1	1396067	1397512	-	abgB	CDS	15457	p-aminobenzoyl-glutamate hydrolase%2C B subunit	b1337	abgB	predicted peptidase, aminobenzoyl-glutamate utilization protein (NCBI)	G6669
BW25113_1338	CP009273.1	1397512	1398822	-	abgA	CDS	15458	p-aminobenzoyl-glutamate hydrolase%2C A subunit	b1338	abgA	putative aminohydrolase (EC 3.5.1.14) (VIMSS)	G6670
BW25113_1339	CP009273.1	1398998	1399906	+	abgR	CDS	15459	putative DNA-binding transcriptional regulator of abgABT operon	b1339	abgR	predicted DNA-binding transcriptional regulator (NCBI)	G6671
BW25113_4426	CP009273.1	1399913	1400008	-	mcaS	ncRNA		motility and biofilm regulator sRNA		mcaS	motility and biofilm regulator sRNA	
BW25113_1340	CP009273.1	1400236	1400799	+	smrA	CDS	15460	DNA endonuclease	b1340	smrA	hypothetical protein (NCBI)	G6672
BW25113_1341	CP009273.1	1400820	1402052	-	ydaM	CDS	15461	diguanylate cyclase%2C csgD regulator	b1341	dgcM	orf, hypothetical protein (VIMSS)	G6673
BW25113_1342	CP009273.1	1402307	1403290	+	ydaN	CDS	15462	putative Zn(II) transporter	b1342	zntB	zinc transporter (NCBI)	G6674
BW25113_4699	CP009273.1	1403386	1403507	+	fnrS	ncRNA		FNR-activated anaerobic sRNA antisense regulator down regulates cydDC%2C metE%2C sodA%2C sodB%2C Hfq-dependent%3B mediates negative FNR regulation		fnrS	FNR-activated anaerobic sRNA antisense regulator down regulates cydDC%2C metE%2C sodA%2C sodB%2C Hfq-dependent%3B mediates negative FNR regulation	
BW25113_1343	CP009273.1	1403768	1405141	+	dbpA	CDS	15463	ATP-dependent RNA helicase%2C specific for 23S rRNA	b1343	dbpA	ATP-dependent RNA helicase, specific for 23S rRNA (NCBI)	EG10210
BW25113_1344	CP009273.1	1405270	1406205	-	ttcA	CDS	15464	tRNA 2-thiocytidine biosynthesis protein	b1344	ttcA	predicted C32 tRNA thiolase (NCBI)	G6675
BW25113_1345	CP009273.1	1406257	1407492	-	intR	CDS	15465	Rac prophage%3B integrase	b1345	intR	Rac prophage; integrase (NCBI)	G6676
BW25113_1346	CP009273.1	1407494	1407709	-	ydaQ	CDS	15466	Rac prophage%3B conserved protein	b1346	xisR	orf, hypothetical protein (VIMSS)	G6677
BW25113_1347	CP009273.1	1407788	1407997	-	rcbA	CDS	15467	double-strand break reduction protein%2C Rac prophage	b1347	rcbA	Rac prophage; predicted protein (NCBI)	EG11901
BW25113_1348	CP009273.1	1407990	1408184	-	ralR	CDS	15468	Rac prophage%3B restriction alleviation protein	b1348	ralR	Rac prophage; restriction alleviation protein (NCBI)	EG11900
BW25113_1349	CP009273.1	1408241	1409050	-	recT	CDS	15469	Rac prophage%3B recombination and repair protein	b1349	recT	Rac prophage; recombination and repair protein (NCBI)	EG11899
BW25113_1350	CP009273.1	1409043	1411643	-	recE	CDS	15470	Rac prophage%3B exonuclease VIII%2C 5' -> 3' specific dsDNA exonuclease	b1350	recE	Rac prophage; exonuclease VIII, 5' -> 3' specific dsDNA exonuclease (NCBI)	EG10827
BW25113_1351	CP009273.1	1411745	1412020	-	racC	CDS	15471	Rac prophage%3B uncharacterized protein	b1351	racC	Rac prophage; predicted protein (NCBI)	EG10813
BW25113_4526	CP009273.1	1412095	1412265	-	ydaE	CDS	1936475	Rac prophage%3B conserved protein	b4526	ydaE	Rac prophage; conserved protein (NCBI)	G0-9081
BW25113_1352	CP009273.1	1412265	1412486	-	kilR	CDS	15473	Rac prophage%3B inhibitor of ftsZ%2C killing protein	b1352	kilR	orf, hypothetical protein (VIMSS)	EG12155
BW25113_1353	CP009273.1	1412928	1413416	+	sieB	CDS	15474	Rac prophage%3B phage superinfection exclusion protein	b1353	sieB	phage superinfection exclusion protein (VIMSS)	EG12154
BW25113_4527	CP009273.1	1413413	1413568	-	ydaF	CDS	15476	Rac prophage%3B uncharacterized protein	b4527	ydaF	orf, hypothetical protein (VIMSS)	G0-10448
BW25113_1355	CP009273.1	1413579	1413713	-	ydaG	CDS	15477	Rac prophage%3B uncharacterized protein	b1355	ydaG	orf, hypothetical protein (VIMSS)	G6679
BW25113_1356	CP009273.1	1414022	1414498	-	racR	CDS	15478	Rac prophage%3B putative DNA-binding transcriptional regulator	b1356	racR	Rac prophage; predicted DNA-binding transcriptional regulator (NCBI)	G6680
BW25113_1357	CP009273.1	1414622	1414918	+	ydaS	CDS	15479	Rac prophage%3B putative DNA-binding transcriptional regulator	b1357	ydaS	Rac prophage; predicted DNA-binding transcriptional regulator (NCBI)	G6681
BW25113_1358	CP009273.1	1414941	1415363	+	ydaT	CDS	15480	Rac prophage%3B uncharacterized protein	b1358	ydaT	Rac prophage; predicted protein (NCBI)	G6682
BW25113_1359	CP009273.1	1415376	1416233	+	ydaU	CDS	15481	Rac prophage%3B conserved protein	b1359	ydaU	Rac prophage; conserved protein (NCBI)	G6683
BW25113_1360	CP009273.1	1416240	1416986	+	ydaV	CDS	15482	Rac prophage%3B putative DNA replication protein	b1360	ydaV	Rac prophage; predicted DNA replication protein (NCBI)	G6684
BW25113_1361	CP009273.1	1416958	1417457	+	ydaW	CDS				ydaW		
BW25113_1362	CP009273.1	1417458	1417901	+	rzpR	CDS				rzpR		
BW25113_4528	CP009273.1	1417657	1417842	+	rzoR	CDS	1936482	Rac prophage%3B putative lipoprotein	b4528	rzoR	Rac prophage; predicted lipoprotein (NCBI)	G0-10449
BW25113_1363	CP009273.1	1418039	1419496	+	trkG	CDS	15485	Rac prophage%3B potassium transporter subunit	b1363	trkG	Rac prophage; potassium transporter subunit (NCBI)	EG11020
BW25113_1365	CP009273.1	1419634	1419897	+	ynaK	CDS	15487	Rac prophage%3B conserved protein	b1365	ynaK	Rac prophage; conserved protein (NCBI)	G6688
BW25113_1366	CP009273.1	1419887	1420339	+	ydaY	CDS				ydaY		
BW25113_1368	CP009273.1	1420711	1421643	+	tmpR	CDS				tmpR		
BW25113_4570	CP009273.1	1421646	1421855	+	lomR	CDS				lomR		
BW25113_1370	CP009273.1	1422003	1422983	-	insH1	CDS	15492		b1370	insH5	Rac prophage; IS5 transposase and trans-activator (NCBI)	G6693
BW25113_4570	CP009273.1	1423052	1423241	+	lomR	CDS				lomR		
BW25113_1372	CP009273.1	1423306	1426668	+	stfR	CDS	15494	Rac prophage%3B putative tail fiber protein	b1372	stfR	putative membrane protein (VIMSS)	G6695
BW25113_1373	CP009273.1	1426668	1427243	+	tfaR	CDS	15495	Rac prophage%3B putative tail fiber assembly protein	b1373	tfaR	Rac prophage; predicted tail fiber assembly protein (NCBI)	G6696
BW25113_1374	CP009273.1	1427341	1427931	-	pinR	CDS	15496	Rac prophage%3B putative site-specific recombinase	b1374	pinR	Rac prophage; predicted site-specific recombinase (NCBI)	G6697
BW25113_1375	CP009273.1	1428248	1428481	-	ynaE	CDS	15497	cold shock protein%2C Rac prophage	b1375	ynaE	cold shock protein, function unknown, Rac prophage (NCBI)	G6698
BW25113_4638	CP009273.1	1429215	1429265	-	ttcC	CDS				ttcC		
BW25113_1376	CP009273.1	1429442	1429876	-	uspF	CDS	15498	stress-induced protein%2C ATP-binding protein	b1376	uspF	putative filament protein (VIMSS)	G6699
BW25113_1377	CP009273.1	1430017	1431150	-	ompN	CDS	15499	outer membrane pore protein N%2C non-specific	b1377	ompN	outer membrane pore protein N, non-specific (NCBI)	G6700
BW25113_4427	CP009273.1	1431378	1431486	+	micC	ncRNA		sRNA antisense regulator of OmpC translation%2C Hfq-dependent		micC	sRNA antisense regulator of OmpC translation%2C Hfq-dependent	
BW25113_1378	CP009273.1	1431517	1435041	-	pfo	CDS	15500	pyruvate-flavodoxin oxidoreductase	b1378	ydbK	fused predicted pyruvate-flavodoxin oxidoreductase: conserved protein/conserved protein/FeS binding protein (NCBI)	G6701
BW25113_4529	CP009273.1	1435315	1435581	+	ydbJ	CDS	1936488	DUF333 family putative lipoprotein	b4529	ydbJ	hypothetical protein (NCBI)	G0-10450
BW25113_1379	CP009273.1	1435578	1436000	-	hslJ	CDS	15501	heat-inducible lipoprotein involved in novobiocin resistance	b1379	hslJ	heat-inducible protein (NCBI)	G6702
BW25113_1380	CP009273.1	1436111	1437100	-	ldhA	CDS	15502	fermentative D-lactate dehydrogenase%2C NAD-dependent	b1380	ldhA	D-lactate dehydrogenase (NCBI)	G592
BW25113_1381	CP009273.1	1437308	1439947	+	ydbH	CDS	15503	putative membrane-anchored protein%2C function unknown	b1381	ydbH	hypothetical protein (NCBI)	G6703
BW25113_1382	CP009273.1	1439944	1440129	+	ynbE	CDS	15504	lipoprotein	b1382	ynbE	predicted lipoprotein (NCBI)	G6704
BW25113_1383	CP009273.1	1440137	1440463	+	ydbL	CDS	15505	DUF1318 family protein	b1383	ydbL	orf, hypothetical protein (VIMSS)	G6705
BW25113_1384	CP009273.1	1440635	1441540	-	feaR	CDS	15506	transcriptional activator for tynA and feaB	b1384	feaR	DNA-binding transcriptional dual regulator (NCBI)	G6706
BW25113_1385	CP009273.1	1441776	1443275	+	feaB	CDS	15507	phenylacetaldehyde dehydrogenase	b1385	feaB	phenylacetaldehyde dehydrogenase (VIMSS)	G7961
BW25113_1386	CP009273.1	1443333	1445606	-	tynA	CDS	15508	tyramine oxidase%2C copper-requiring	b1386	tynA	tyramine oxidase, copper-requiring (NCBI)	EG13139
BW25113_1387	CP009273.1	1445854	1447899	-	paaZ	CDS	15509	fused oxepin-CoA hydrolase/3-oxo-5%2C6-dehydrosuberyl-CoA semialdehyde dehydrogenase	b1387	paaZ	fused aldehyde dehydrogenase/enoyl-CoA hydratase (NCBI)	G6708
BW25113_1388	CP009273.1	1448184	1449113	+	paaA	CDS	15510	ring 1%2C2-phenylacetyl-CoA epoxidase subunit	b1388	paaA	predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation (NCBI)	G6709
BW25113_1389	CP009273.1	1449125	1449412	+	paaB	CDS	15511	putative ring 1%2C2-phenylacetyl-CoA epoxidase subunit	b1389	paaB	predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation (NCBI)	G6710
BW25113_1390	CP009273.1	1449421	1450167	+	paaC	CDS	15512	ring 1%2C2-phenylacetyl-CoA epoxidase subunit	b1390	paaC	predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation (NCBI)	G6711
BW25113_1391	CP009273.1	1450182	1450679	+	paaD	CDS	15513	ring 1%2C2-phenylacetyl-CoA epoxidase subunit	b1391	paaD	predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation (RefSeq)	G6712
BW25113_1392	CP009273.1	1450687	1451757	+	paaE	CDS	15514	ring 1%2C2-phenylacetyl-CoA epoxidase%2C NAD(P)H oxidoreductase component	b1392	paaE	predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation (NCBI)	G6713
BW25113_1393	CP009273.1	1451754	1452521	+	paaF	CDS	15515	2%2C3-dehydroadipyl-CoA hydratase	b1393	paaF	enoyl-CoA hydratase-isomerase (NCBI)	G6714
BW25113_1394	CP009273.1	1452521	1453309	+	paaG	CDS	15516	1%2C2-epoxyphenylacetyl-CoA isomerase%2C oxepin-CoA-forming	b1394	paaG	enoyl-CoA hydratase (NCBI)	G6715
BW25113_1395	CP009273.1	1453311	1454738	+	paaH	CDS	15517	3-hydroxyadipyl-CoA dehydrogenase%2C NAD+-dependent	b1395	paaH	3-hydroxybutyryl-CoA dehydrogenase (NCBI)	G6716
BW25113_1396	CP009273.1	1454728	1455150	+	paaI	CDS	15518	hydroxyphenylacetyl-CoA thioesterase	b1396	paaI	predicted thioesterase (NCBI)	G6717
BW25113_1397	CP009273.1	1455150	1456355	+	paaJ	CDS	15519	3-oxoadipyl-CoA/3-oxo-5%2C6-dehydrosuberyl-CoA thiolase	b1397	paaJ	acetyl-CoA acetyltransferase (NCBI)	G6718
BW25113_1398	CP009273.1	1456382	1457695	+	paaK	CDS	15520	phenylacetyl-CoA ligase	b1398	paaK	phenylacetyl-CoA ligase (NCBI)	G6719
BW25113_1399	CP009273.1	1457796	1458746	+	paaX	CDS	15521	transcriptional repressor of phenylacetic acid degradation paa operon%2C phenylacetyl-CoA inducer	b1399	paaX	DNA-binding transcriptional repressor of phenylacetic acid degradation, aryl-CoA responsive (NCBI)	G6720
BW25113_1400	CP009273.1	1458728	1459318	+	paaY	CDS	15522	putative hexapeptide repeat acetyltransferase	b1400	paaY	predicted hexapeptide repeat acetyltransferase (NCBI)	G6721
BW25113_4674	CP009273.1	1459422	1459487	-	ynbG	CDS	7497348	uncharacterized protein	b4674	ynbG	expressed protein (RefSeq)	G0-10646
BW25113_4492	CP009273.1	1459649	1462161	+	ydbA	CDS				ydbA		
BW25113_1402	CP009273.1	1462178	1463083	-	insD1	CDS		IS2 transposase TnpB		insD1	IS2 transposase TnpB	
BW25113_1403	CP009273.1	1463041	1463406	-	insC1	CDS		IS2 repressor TnpA		insC1	IS2 repressor TnpA	
BW25113_4492	CP009273.1	1463498	1463550	+	ydbA	CDS				ydbA		
BW25113_1404	CP009273.1	1463615	1464766	+	insI1	CDS		IS30 transposase		insI1	IS30 transposase	
BW25113_4492	CP009273.1	1464774	1468270	+	ydbA	CDS				ydbA		
BW25113_1406	CP009273.1	1468478	1469338	+	ydbC	CDS	15528	putative NAD(P)-binding oxidoreductase	b1406	pdxI	predicted oxidoreductase, NAD(P)-binding (NCBI)	EG11309
BW25113_1407	CP009273.1	1469401	1471707	+	ydbD	CDS	15529	PF10971 family putative periplasmic methylglyoxal resistance protein	b1407	ydbD	orf, hypothetical protein (VIMSS)	EG11310
BW25113_1408	CP009273.1	1471878	1472483	+	ynbA	CDS	15530	inner membrane protein	b1408	ynbA	probable enzyme (VIMSS)	G6727
BW25113_1409	CP009273.1	1472483	1473379	+	ynbB	CDS	15531	putative CDP-diglyceride synthase	b1409	ynbB	predicted CDP-diglyceride synthase (NCBI)	G6728
BW25113_1410	CP009273.1	1473395	1475152	+	ynbC	CDS	15532	putative esterase	b1410	ynbC	predicted hydrolase (NCBI)	G6729
BW25113_1411	CP009273.1	1475166	1476458	+	ynbD	CDS	15533	putative phosphatase inner membrane protein	b1411	ynbD	predicted phosphatase, inner membrane protein (NCBI)	G6730
BW25113_1412	CP009273.1	1476512	1477117	-	azoR	CDS	15534	NADH-azoreductase%2C FMN-dependent	b1412	azoR	acyl carrier protein phosphodiesterase (NCBI)	G6731
BW25113_1413	CP009273.1	1477318	1481220	+	hrpA	CDS	15535	putative ATP-dependent helicase	b1413	hrpA	ATP-dependent helicase (RefSeq)	G6732
BW25113_1414	CP009273.1	1481492	1482292	+	ydcF	CDS	15536	DUF218 superfamily protein%2C SAM-binding	b1414	ydcF	hypothetical protein (NCBI)	EG12110
BW25113_1415	CP009273.1	1482489	1483928	+	aldA	CDS	15537	aldehyde dehydrogenase A%2C NAD-linked	b1415	aldA	aldehyde dehydrogenase A, NAD-linked (NCBI)	EG10035
BW25113_4493	CP009273.1	1484221	1484970	-	gapC	CDS				gapC		
BW25113_1418	CP009273.1	1485159	1485689	+	cybB	CDS	15539	cytochrome b561	b1418	cybB	cytochrome b(561) (VIMSS)	EG10172
BW25113_4597	CP009273.1	1485700	1485763	-	rydC	ncRNA		sRNA antisense regulator of yejABEF%2C Hfq-dependent%3B over-expression causes a thermosensitive growth phenotype on minimal glycerol%2C maltose%2C or ribose media		rydC	sRNA antisense regulator of yejABEF%2C Hfq-dependent%3B over-expression causes a thermosensitive growth phenotype on minimal glycerol%2C maltose%2C or ribose media	
BW25113_1419	CP009273.1	1485934	1486107	+	ydcA	CDS	15540	putative periplasmic protein	b1419	ydcA	hypothetical protein (NCBI)	EG11219
BW25113_4428	CP009273.1	1486179	1486328	-	hokB	CDS	1936500	toxic polypeptide%2C small	b4428	hokB	toxic polypeptide, small (NCBI)	G0-9610
BW25113_1420	CP009273.1	1486219	1486386	-	mokB	CDS	15541	regulatory peptide	b1420	mokB	regulatory peptide (NCBI)	G6736
BW25113_4429	CP009273.1	1486376	1486431	+	sokB	ncRNA		sRNA antisense regulator blocking mokB%2C and hence hokB%2C translation		sokB	sRNA antisense regulator blocking mokB%2C and hence hokB%2C translation	
BW25113_1421	CP009273.1	1486727	1488367	+	trg	CDS	15542	methyl-accepting chemotaxis protein III%2C ribose and galactose sensor receptor	b1421	trg	methyl-accepting chemotaxis protein III, ribose and galactose sensor receptor (NCBI)	EG11018
BW25113_1422	CP009273.1	1488405	1489328	-	ydcI	CDS	15543	putative DNA-binding transcriptional regulator	b1422	ydcI	putative transcriptional regulator LYSR-type (VIMSS)	G6737
BW25113_1423	CP009273.1	1489545	1490888	+	ydcJ	CDS	15544	putative metalloenzyme	b1423	ydcJ	hypothetical protein (NCBI)	G6738
BW25113_1424	CP009273.1	1491113	1492768	+	opgD	CDS	15545	osmoregulated periplasmic glucan (OPG) biosynthesis periplasmic protein	b1424	opgD	glucan biosynthesis protein, periplasmic (RefSeq)	EG12859
BW25113_1426	CP009273.1	1492908	1493132	+	ydcH	CDS	15547	DUF465 family protein	b1426	ydcH	orf, hypothetical protein (VIMSS)	EG12865
BW25113_1427	CP009273.1	1493195	1493734	+	rimL	CDS	15548	ribosomal-protein-L7/L12-serine acetyltransferase	b1427	rimL	ribosomal-protein-L7/L12-serine acetyltransferase (NCBI)	EG10853
BW25113_1428	CP009273.1	1493726	1494706	-	ydcK	CDS	15549	uncharacterized protein	b1428	ydcK	predicted enzyme (NCBI)	G6741
BW25113_1429	CP009273.1	1494830	1495822	+	tehA	CDS	15550	potassium-tellurite ethidium and proflavin transporter	b1429	tehA	potassium-tellurite ethidium and proflavin transporter (NCBI)	EG11883
BW25113_1430	CP009273.1	1495819	1496412	+	tehB	CDS	15551	tellurite%2C selenium methyltransferase%2C SAM-dependent%3B tellurite%2C selenium resistance protein	b1430	tehB	predicted S-adenosyl-L-methionine-dependent methyltransferase (NCBI)	EG11884
BW25113_1431	CP009273.1	1496714	1497382	+	ydcL	CDS	15552	lipoprotein	b1431	ydcL	predicted lipoprotein (NCBI)	G6742
BW25113_4578	CP009273.1	1497475	1497906	-	insP	CDS				insP		
BW25113_1432	CP009273.1	1497974	1499122	+	insQ	CDS	15553	IS609 transposase B	b1432	insQ	IS609 transposase B (RefSeq)	G6743
BW25113_1433	CP009273.1	1499162	1500337	-	ydcO	CDS	15554	BenE family inner membrane putative transporter	b1433	ydcO	putative membrane transport protein (VIMSS)	G6744
BW25113_1434	CP009273.1	1500429	1500965	+	ydcN	CDS	15555	putative DNA-binding transcriptional regulator	b1434	sutR	predicted DNA-binding transcriptional regulator (NCBI)	G6745
BW25113_1435	CP009273.1	1501038	1502999	+	ydcP	CDS	15556	putative peptidase	b1435	rlhA	putative collagenase (VIMSS)	G6746
BW25113_1436	CP009273.1	1503091	1503321	-	yncJ	CDS	15557	uncharacterized protein	b1436	yncJ	hypothetical protein (NCBI)	G6747
BW25113_4532	CP009273.1	1503543	1503719	+	hicA	CDS	15558	mRNA interferase toxin of the HicAB toxin-antitoxin system	b4532	hicA	orf, hypothetical protein (VIMSS)	G0-10451
BW25113_1438	CP009273.1	1503765	1504181	+	hicB	CDS	15559	antitoxin for the HicAB toxin-antitoxin system	b1438	hicB	predicted DNA-binding transcriptional regulator (RefSeq)	G6749
BW25113_1439	CP009273.1	1504260	1505666	+	ydcR	CDS	15560	putative DNA-binding transcriptional regulator/putative amino transferase	b1439	ydcR	fused predicted DNA-binding transcriptional regulator/predicted amino transferase (NCBI)	G6750
BW25113_1440	CP009273.1	1505911	1507056	+	ydcS	CDS	15561	polyhydroxybutyrate (PHB) synthase%2C ABC transporter periplasmic binding protein homolog	b1440	ydcS	predicted spermidine/putrescine transporter subunit (NCBI)	G6751
BW25113_1441	CP009273.1	1507074	1508087	+	ydcT	CDS	15562	putative spermidine/putrescine transporter subunit	b1441	ydcT	predicted spermidine/putrescine transporter subunit (NCBI)	G6752
BW25113_1442	CP009273.1	1508088	1509029	+	ydcU	CDS	15563	putative spermidine/putrescine transporter subunit	b1442	ydcU	predicted spermidine/putrescine transporter subunit (NCBI)	G6753
BW25113_1443	CP009273.1	1509019	1509813	+	ydcV	CDS	15564	putative spermidine/putrescine transporter subunit	b1443	ydcV	predicted spermidine/putrescine transporter subunit (NCBI)	G6754
BW25113_1444	CP009273.1	1509835	1511259	+	patD	CDS	15565	gamma-aminobutyraldehyde dehydrogenase	b1444	patD	medium chain aldehyde dehydrogenase (NCBI)	G6755
BW25113_4598	CP009273.1	1511356	1511451	-	yncL	CDS	3446177	stress-induced small inner membrane enterobacterial protein	b4598	yncL	hypothetical protein (RefSeq)	G0-8887
BW25113_1445	CP009273.1	1511646	1511819	+	ydcX	CDS	15566	DUF2566 family protein	b1445	ortT	orf, hypothetical protein (VIMSS)	G6756
BW25113_1446	CP009273.1	1511905	1512138	+	ydcY	CDS	15567	uncharacterized protein	b1446	ydcY	hypothetical protein (NCBI)	G6757
BW25113_1447	CP009273.1	1512139	1512588	-	ydcZ	CDS	15568	DUF606 family inner membrane protein	b1447	ydcZ	predicted inner membrane protein (NCBI)	G6758
BW25113_1448	CP009273.1	1512585	1513103	-	mnaT	CDS	15569	methionine N-acyltransferase%3B L-amino acid N-acyltransferase	b1448	mnaT	predicted acyltransferase with acyl-CoA N-acyltransferase domain (NCBI)	G6759
BW25113_1449	CP009273.1	1513284	1514321	+	curA	CDS	15570	curcumin/dihydrocurcumin reductase%2C NADPH-dependent	b1449	curA	predicted oxidoreductase, Zn-dependent and NAD(P)-binding (RefSeq)	G6760
BW25113_1450	CP009273.1	1514519	1515184	+	mcbR	CDS	15571	colanic acid and biofilm gene transcriptional regulator%2C MqsR-controlled	b1450	mcbR	orf, hypothetical protein (VIMSS)	G6761
BW25113_1451	CP009273.1	1515220	1517322	-	yncD	CDS	15572	putative iron outer membrane transporter	b1451	pqqU	predicted iron outer membrane transporter (NCBI)	G6762
BW25113_1452	CP009273.1	1517564	1518625	+	yncE	CDS	15573	ATP-binding protein%2C periplasmic%2C function unknown	b1452	yncE	hypothetical protein (NCBI)	G6763
BW25113_1453	CP009273.1	1518738	1520237	-	ansP	CDS	15574	L-asparagine transporter	b1453	ansP	L-asparagine permease (VIMSS)	G6764
BW25113_1454	CP009273.1	1520504	1521121	+	yncG	CDS	15575	glutathione S-transferase homolog	b1454	yncG	predicted enzyme (NCBI)	G6765
BW25113_1455	CP009273.1	1521197	1521409	+	yncH	CDS	15576	IPR020099 family protein	b1455	yncH	hypothetical protein (NCBI)	G6766
BW25113_1456	CP009273.1	1522159	1524195	+	rhsE	CDS				rhsE		
BW25113_1457	CP009273.1	1524179	1524661	+	ydcD	CDS	15578	uncharacterized protein	b1457	ydcD	hypothetical protein (NCBI)	EG11760
BW25113_1459	CP009273.1	1524843	1525580	+	yncI	CDS				yncI		
BW25113_1460	CP009273.1	1526073	1527209	+	ydcC	CDS	15581	H repeat-associated putative transposase	b1460	ydcC	hypothetical protein (NCBI)	EG11526
BW25113_1461	CP009273.1	1527309	1527542	+	pptA	CDS	15582	4-oxalocrotonate tautomerase	b1461	pptA	4-oxalocrotonate tautomerase (NCBI)	EG11761
BW25113_1462	CP009273.1	1527539	1528108	-	yddH	CDS	15583	flavin reductase like-protein	b1462	yddH	orf, hypothetical protein (VIMSS)	G6769
BW25113_1463	CP009273.1	1528281	1529126	+	nhoA	CDS	15584	N-hydroxyarylamine O-acetyltransferase	b1463	nhoA	N-hydroxyarylamine O-acetyltransferase (NCBI)	G6770
BW25113_1464	CP009273.1	1529222	1530115	-	yddE	CDS	15585	PhzC-PhzF family protein	b1464	yddE	hypothetical protein (NCBI)	EG11825
